RD,Region,"<1""","2""","3""","4""","5""","6""","7""","8""","9""","10""","11""","12""","12""+ ", Salting  ,Flat Monthly Cost ,,Vendor ,Notes
RD001,North,$0.00 ,$315.00 ,$315.00 ,$430.00 ,$430.00 ,$560.00 ,$560.00 ,$695.00 ,$695.00 ,$815.00 ,$815.00 ,$815.00 ,,$260.00 ,,,Elite Lawncare & Snow Removal,
RD002,North,$0.00 ,$260.00 ,"$260,00",$380.00 ,$380.00 ,$495.00 ,$495.00 ,$630.00 ,$630.00 ,$750.00 ,$750.00 ,$750.00 ,,$240.00 ,,,Elite Lawncare & Snow Removal,
RD003,North,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,$100.00 ,"$1,350 ",,Bella Green Care ,
RD004,North,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,$100.00 ,"$1,350 ",,Bella Green Care ,
RD005,North,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,50,"$1,380 ",,Cutting Edge Wisconsin ,$690 for April (1/2 price) 
RD006,North,$260.00 ,$260.00 ,$260.00 ,$365.00 ,$365.00 ,$470.00 ,$470.00 ,$585.00 ,$585.00 ,$700.00 ,$700.00 ,,,$240.00 ,,,Competitive Yard Worx ,
RD007,North,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,$100.00 ,"$1,350 ",,Bella Green Care ,
RD008,North,$0.00 ,$275.00 ,$275.00 ,$325.00 ,$325.00 ,$375.00 ,$375.00 ,$375.00 ,,,,,,$100.00 ,,,Oakwood Landscape ,Clear Lane Service Call $95.00
RD009,North,$0.00 ,$300.00 ,$300.00 ,$400.00 ,$400.00 ,$520.00 ,$520.00 ,$638.00 ,$638.00 ,$765.00 ,$765.00 ,$765.00 ,,$250.00 ,,,Elite Lawncare & Snow Removal,
RD010,North,$300.00 ,$300.00 ,$300.00 ,$410.00 ,$410.00 ,$525.00 ,$525.00 ,$650.00 ,$650.00 ,$785.00 ,$785.00 ,,,$250.00 ,,,Competitive Yard Worx ,
RD011,North,,,,,,,,,,,,,,$375 ,,,Lindstrom Lawn Care ,$150 per truck per Hour per hour 
RD012,North,$0.00 ,$225.00 ,$225.00 ,$275.00 ,$275.00 ,$350.00 ,$350.00 ,$350.00 ,,,,,,$100.00 ,,,Oakwood Landscape ,Clear Lane Service Call $95.00/hour for Blizzard 
RD013,North,$280.00 ,$280.00 ,$325.00 ,$325.00 ,$325.00 ,$400.00 ,$400.00 ,$400.00 ,,,,,,$150.00 ,,,Lawn-N-Order ,"Shoveling in front of stroage Unit Doors up 5"" $150"
RD014,North,$185.00 ,$185.00 ,$250.00 ,$250.00 ,$250.00 ,$325.00 ,$325.00 ,$325.00 ,,,,,,$100.00 ,,,Lawn N Order,"Shoveling in front of stroage Unit Doors up 5"" $125"
RD015,North,$350.00 ,$350.00 ,$350.00 ,$455.00 ,$455.00 ,$595.00 ,$595.00 ,$660.00 ,$660.00 ,$780.00 ,$780.00 ,,,$275.00 ,,,Competitive Yard Worx ,
RD016,North,$250.00 ,$250.00 ,$250.00 ,$330.00 ,$330.00 ,$440.00 ,$440.00 ,$530.00 ,$530.00 ,$665.00 ,$665.00 ,,,$200.00 ,,,Competitive Yard Worx ,
RD017,North,$285.00 ,$285.00 ,$285.00 ,$380.00 ,$380.00 ,$485.00 ,$485.00 ,$590.00 ,$590.00 ,$700.00 ,$700.00 ,,,$240.00 ,,,Competitive Yard Worx ,
RD018,North,$175.00 ,$175.00 ,$175.00 ,$230.00 ,$230.00 ,$315.00 ,$315.00 ,$420.00 ,$420.00 ,$530.00 ,$530.00 ,,,$150.00 ,,,Competitive Yard Worx ,
RD019,North,$275.00 ,$275.00 ,$275.00 ,$360.00 ,$360.00 ,$475.00 ,$475.00 ,$580.00 ,$580.00 ,$695.00 ,$695.00 ,,,$225.00 ,,,Competitive Yard Worx ,
